TeamID,PlayerID,GameID,FTM,FTA,FGM,FGA,FGM3,FGA3,TOV,STL,DREB,OREB,BLK,AST,PF,PTS,REB,DNP
3,4,19,0,0,2,8,0,0,1,3,NA,NA,0,1,3,4,4,0
3,4,20,1,3,1,3,0,0,4,2,NA,NA,0,2,2,3,9,0
3,4,21,2,2,3,7,0,0,1,4,NA,NA,0,0,1,8,8,0
3,4,22,0,0,4,12,0,0,5,2,NA,NA,0,0,2,8,9,0
3,4,23,0,0,8,16,0,0,2,2,NA,NA,0,1,0,16,7,0
3,4,24,0,0,2,5,0,0,0,2,NA,NA,0,0,2,4,5,0
3,4,5,0,0,1,4,0,0,2,2,NA,NA,0,0,1,0,4,0
3,4,6,1,2,0,2,0,0,2,0,NA,NA,1,0,0,1,7,0
3,4,7,0,0,2,6,0,0,0,1,NA,NA,0,0,0,4,6,0
3,4,8,0,0,3,7,0,0,1,2,NA,NA,1,0,1,6,10,0
3,4,9,0,0,2,6,0,0,1,6,NA,NA,0,1,0,4,3,0
